Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,121796,TATACONSUM 25 NOV 2025 CE 1100.00,2025-11-25,CE,1100,TATACONSUM 25 NOV 2025 CE 1100.00,0.05,550,22000,1,TATACONSUM,N,INE192A01025,TATACONSUM 25 NOV 2025 CE 1100.00_20251125_CE_1100,XX
N,D,121919,TATACONSUM 25 NOV 2025 PE 1560.00,2025-11-25,PE,1560,TATACONSUM 25 NOV 2025 PE 1560.00,0.05,550,22000,1,TATACONSUM,N,INE192A01025,TATACONSUM 25 NOV 2025 PE 1560.00_20251125_PE_1560,XX
N,D,121928,TATAELXSI 28 OCT 2025 PE 2800.00,2025-10-28,PE,2800,TATAELXSI 28 OCT 2025 PE 2800.00,0.05,100,4000,1,TATAELXSI,N,INE670A01012,TATAELXSI 28 OCT 2025 PE 2800.00_20251028_PE_2800,XX
N,D,122153,TATAELXSI 25 NOV 2025 PE 5200.00,2025-11-25,PE,5200,TATAELXSI 25 NOV 2025 PE 5200.00,0.05,100,4000,1,TATAELXSI,N,INE670A01012,TATAELXSI 25 NOV 2025 PE 5200.00_20251125_PE_5200,XX
N,D,123263,TATATECH 25 NOV 2025 CE 760.00,2025-11-25,CE,760,TATATECH 25 NOV 2025 CE 760.00,0.05,800,32000,1,TATATECH,N,INE142M01025,TATATECH 25 NOV 2025 CE 760.00_20251125_CE_760,XX
N,D,123274,TATATECH 25 NOV 2025 PE 860.00,2025-11-25,PE,860,TATATECH 25 NOV 2025 PE 860.00,0.05,800,32000,1,TATATECH,N,INE142M01025,TATATECH 25 NOV 2025 PE 860.00_20251125_PE_860,XX
N,D,123281,TATATECH 25 NOV 2025 PE 900.00,2025-11-25,PE,900,TATATECH 25 NOV 2025 PE 900.00,0.05,800,32000,1,TATATECH,N,INE142M01025,TATATECH 25 NOV 2025 PE 900.00_20251125_PE_900,XX
N,D,118183,SHREECEM 25 NOV 2025 PE 24500.00,2025-11-25,PE,24500,SHREECEM 25 NOV 2025 PE 24500.00,0.05,25,750,1,SHREECEM,N,INE070A01015,SHREECEM 25 NOV 2025 PE 24500.00_20251125_PE_24500,XX
N,D,118201,SHREECEM 25 NOV 2025 CE 28500.00,2025-11-25,CE,28500,SHREECEM 25 NOV 2025 CE 28500.00,0.05,25,750,1,SHREECEM,N,INE070A01015,SHREECEM 25 NOV 2025 CE 28500.00_20251125_CE_28500,XX
N,D,120098,SUNPHARMA 28 OCT 2025 CE 1000.00,2025-10-28,CE,1000,SUNPHARMA 28 OCT 2025 CE 1000.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 CE 1000.00_20251028_CE_1000,XX
N,D,120141,SUNPHARMA 28 OCT 2025 CE 1300.00,2025-10-28,CE,1300,SUNPHARMA 28 OCT 2025 CE 1300.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 CE 1300.00_20251028_CE_1300,XX
N,D,120166,SUNPHARMA 28 OCT 2025 PE 1340.00,2025-10-28,PE,1340,SUNPHARMA 28 OCT 2025 PE 1340.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 PE 1340.00_20251028_PE_1340,XX
N,D,120180,SUNPHARMA 28 OCT 2025 PE 1460.00,2025-10-28,PE,1460,SUNPHARMA 28 OCT 2025 PE 1460.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 PE 1460.00_20251028_PE_1460,XX
N,D,120191,SUNPHARMA 28 OCT 2025 CE 1700.00,2025-10-28,CE,1700,SUNPHARMA 28 OCT 2025 CE 1700.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 CE 1700.00_20251028_CE_1700,XX
N,D,120198,SUNPHARMA 28 OCT 2025 PE 1820.00,2025-10-28,PE,1820,SUNPHARMA 28 OCT 2025 PE 1820.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 PE 1820.00_20251028_PE_1820,XX
N,D,120205,SUNPHARMA 28 OCT 2025 CE 1980.00,2025-10-28,CE,1980,SUNPHARMA 28 OCT 2025 CE 1980.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 CE 1980.00_20251028_CE_1980,XX
N,D,120223,SUNPHARMA 28 OCT 2025 CE 2200.00,2025-10-28,CE,2200,SUNPHARMA 28 OCT 2025 CE 2200.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 CE 2200.00_20251028_CE_2200,XX
N,D,120255,SUNPHARMA 28 OCT 2025 CE 2280.00,2025-10-28,CE,2280,SUNPHARMA 28 OCT 2025 CE 2280.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 28 OCT 2025 CE 2280.00_20251028_CE_2280,XX
N,D,120266,SUNPHARMA 25 NOV 2025 CE 960.00,2025-11-25,CE,960,SUNPHARMA 25 NOV 2025 CE 960.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 CE 960.00_20251125_CE_960,XX
N,D,120273,SUNPHARMA 25 NOV 2025 CE 1120.00,2025-11-25,CE,1120,SUNPHARMA 25 NOV 2025 CE 1120.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 CE 1120.00_20251125_CE_1120,XX
N,D,120280,SUNPHARMA 25 NOV 2025 PE 1240.00,2025-11-25,PE,1240,SUNPHARMA 25 NOV 2025 PE 1240.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 PE 1240.00_20251125_PE_1240,XX
N,D,120298,SUNPHARMA 25 NOV 2025 PE 1480.00,2025-11-25,PE,1480,SUNPHARMA 25 NOV 2025 PE 1480.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 PE 1480.00_20251125_PE_1480,XX
N,D,120341,SUNPHARMA 25 NOV 2025 CE 1600.00,2025-11-25,CE,1600,SUNPHARMA 25 NOV 2025 CE 1600.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 CE 1600.00_20251125_CE_1600,XX
N,D,120348,SUNPHARMA 25 NOV 2025 PE 1680.00,2025-11-25,PE,1680,SUNPHARMA 25 NOV 2025 PE 1680.00,0.05,350,14000,1,SUNPHARMA,N,INE044A01036,SUNPHARMA 25 NOV 2025 PE 1680.00_20251125_PE_1680,XX
