Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,70349,BRITANNIA 25 NOV 2025 CE 5600.00,2025-11-25,CE,5600,BRITANNIA 25 NOV 2025 CE 5600.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 CE 5600.00_20251125_CE_5600,XX
N,D,135842,MOTHERSON 28 OCT 2025 PE 72.00,2025-10-28,PE,72,MOTHERSON 28 OCT 2025 PE 72.00,0.05,6150,246000,1,MOTHERSON,N,INE775A01035,MOTHERSON 28 OCT 2025 PE 72.00_20251028_PE_72,XX
N,D,70350,BRITANNIA 25 NOV 2025 PE 5600.00,2025-11-25,PE,5600,BRITANNIA 25 NOV 2025 PE 5600.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 5600.00_20251125_PE_5600,XX
N,D,70381,BRITANNIA 25 NOV 2025 CE 6500.00,2025-11-25,CE,6500,BRITANNIA 25 NOV 2025 CE 6500.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 CE 6500.00_20251125_CE_6500,XX
N,D,70382,BRITANNIA 25 NOV 2025 PE 6500.00,2025-11-25,PE,6500,BRITANNIA 25 NOV 2025 PE 6500.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 6500.00_20251125_PE_6500,XX
N,D,70682,BSE 28 OCT 2025 CE 2850.00,2025-10-28,CE,2850,BSE 28 OCT 2025 CE 2850.00,0.05,375,11250,1,BSE,N,INE118H01025,BSE 28 OCT 2025 CE 2850.00_20251028_CE_2850,XX
N,D,139921,PAYTM 30 DEC 2025 CE 840.00,2025-12-30,CE,840,PAYTM 30 DEC 2025 CE 840.00,0.05,725,21750,1,PAYTM,N,INE982J01020,PAYTM 30 DEC 2025 CE 840.00_20251230_CE_840,XX
N,D,134323,MANAPPURAM 25 NOV 2025 CE 252.50,2025-11-25,CE,252.5,MANAPPURAM 25 NOV 2025 CE 252.50,0.05,3000,90000,1,MANAPPURAM,N,INE522D01027,MANAPPURAM 25 NOV 2025 CE 252.50_20251125_CE_252.5,XX
N,D,134324,MANAPPURAM 25 NOV 2025 PE 252.50,2025-11-25,PE,252.5,MANAPPURAM 25 NOV 2025 PE 252.50,0.05,3000,90000,1,MANAPPURAM,N,INE522D01027,MANAPPURAM 25 NOV 2025 PE 252.50_20251125_PE_252.5,XX
N,D,110370,MPHASIS 28 OCT 2025 CE 2200.00,2025-10-28,CE,2200,MPHASIS 28 OCT 2025 CE 2200.00,0.05,275,8250,1,MPHASIS,N,INE356A01018,MPHASIS 28 OCT 2025 CE 2200.00_20251028_CE_2200,XX
N,D,134342,MANAPPURAM 25 NOV 2025 CE 282.50,2025-11-25,CE,282.5,MANAPPURAM 25 NOV 2025 CE 282.50,0.05,3000,90000,1,MANAPPURAM,N,INE522D01027,MANAPPURAM 25 NOV 2025 CE 282.50_20251125_CE_282.5,XX
N,D,135109,MARUTI 30 DEC 2025 PE 17200.00,2025-12-30,PE,17200,MARUTI 30 DEC 2025 PE 17200.00,0.05,50,1500,1,MARUTI,N,INE585B01010,MARUTI 30 DEC 2025 PE 17200.00_20251230_PE_17200,XX
N,D,135110,MARUTI 30 DEC 2025 CE 17400.00,2025-12-30,CE,17400,MARUTI 30 DEC 2025 CE 17400.00,0.05,50,1500,1,MARUTI,N,INE585B01010,MARUTI 30 DEC 2025 CE 17400.00_20251230_CE_17400,XX
N,D,61899,ADANIGREEN 28 OCT 2025 CE 800.00,2025-10-28,CE,800,ADANIGREEN 28 OCT 2025 CE 800.00,0.05,600,24000,1,ADANIGREEN,N,INE364U01010,ADANIGREEN 28 OCT 2025 CE 800.00_20251028_CE_800,XX
N,D,135127,MARUTI 30 DEC 2025 PE 19000.00,2025-12-30,PE,19000,MARUTI 30 DEC 2025 PE 19000.00,0.05,50,1500,1,MARUTI,N,INE585B01010,MARUTI 30 DEC 2025 PE 19000.00_20251230_PE_19000,XX
N,D,147184,TMPV 30 DEC 2025 CE 720.00,2025-12-30,CE,720,TMPV 30 DEC 2025 CE 720.00,0.05,800,32000,1,TMPV,N,INE155A01022,TMPV 30 DEC 2025 CE 720.00_20251230_CE_720,XX
N,D,147384,TATASTEEL 25 NOV 2025 CE 225.00,2025-11-25,CE,225,TATASTEEL 25 NOV 2025 CE 225.00,0.05,5500,165000,1,TATASTEEL,N,INE081A01020,TATASTEEL 25 NOV 2025 CE 225.00_20251125_CE_225,XX
N,D,147386,TATASTEEL 25 NOV 2025 CE 235.00,2025-11-25,CE,235,TATASTEEL 25 NOV 2025 CE 235.00,0.05,5500,165000,1,TATASTEEL,N,INE081A01020,TATASTEEL 25 NOV 2025 CE 235.00_20251125_CE_235,XX
N,D,89024,COFORGE 30 DEC 2025 PE 1840.00,2025-12-30,PE,1840,COFORGE 30 DEC 2025 PE 1840.00,0.05,375,15000,1,COFORGE,N,INE591G01025,COFORGE 30 DEC 2025 PE 1840.00_20251230_PE_1840,XX
N,D,89141,COLPAL 25 NOV 2025 CE 1200.00,2025-11-25,CE,1200,COLPAL 25 NOV 2025 CE 1200.00,0.05,225,9000,1,COLPAL,N,INE259A01022,COLPAL 25 NOV 2025 CE 1200.00_20251125_CE_1200,XX
N,D,89160,COLPAL 25 NOV 2025 PE 1240.00,2025-11-25,PE,1240,COLPAL 25 NOV 2025 PE 1240.00,0.05,225,9000,1,COLPAL,N,INE259A01022,COLPAL 25 NOV 2025 PE 1240.00_20251125_PE_1240,XX
N,D,141970,POLYCAB 25 NOV 2025 PE 8500.00,2025-11-25,PE,8500,POLYCAB 25 NOV 2025 PE 8500.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 25 NOV 2025 PE 8500.00_20251125_PE_8500,XX
N,D,141972,POLYCAB 25 NOV 2025 PE 8700.00,2025-11-25,PE,8700,POLYCAB 25 NOV 2025 PE 8700.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 25 NOV 2025 PE 8700.00_20251125_PE_8700,XX
N,D,135128,MARUTI 30 DEC 2025 CE 19200.00,2025-12-30,CE,19200,MARUTI 30 DEC 2025 CE 19200.00,0.05,50,1500,1,MARUTI,N,INE585B01010,MARUTI 30 DEC 2025 CE 19200.00_20251230_CE_19200,XX
N,D,135145,MARUTI 30 DEC 2025 CE 20000.00,2025-12-30,CE,20000,MARUTI 30 DEC 2025 CE 20000.00,0.05,50,1500,1,MARUTI,N,INE585B01010,MARUTI 30 DEC 2025 CE 20000.00_20251230_CE_20000,XX
N,D,135159,MARUTI 30 DEC 2025 CE 22800.00,2025-12-30,CE,22800,MARUTI 30 DEC 2025 CE 22800.00,0.05,50,1500,1,MARUTI,N,INE585B01010,MARUTI 30 DEC 2025 CE 22800.00_20251230_CE_22800,XX
N,D,135160,MARUTI 30 DEC 2025 PE 22800.00,2025-12-30,PE,22800,MARUTI 30 DEC 2025 PE 22800.00,0.05,50,1500,1,MARUTI,N,INE585B01010,MARUTI 30 DEC 2025 PE 22800.00_20251230_PE_22800,XX
N,D,135177,MAXHEALTH 25 NOV 2025 CE 1020.00,2025-11-25,CE,1020,MAXHEALTH 25 NOV 2025 CE 1020.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 25 NOV 2025 CE 1020.00_20251125_CE_1020,XX
N,D,135178,MAXHEALTH 25 NOV 2025 PE 1020.00,2025-11-25,PE,1020,MAXHEALTH 25 NOV 2025 PE 1020.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 25 NOV 2025 PE 1020.00_20251125_PE_1020,XX
N,D,61901,ADANIGREEN 28 OCT 2025 CE 840.00,2025-10-28,CE,840,ADANIGREEN 28 OCT 2025 CE 840.00,0.05,600,24000,1,ADANIGREEN,N,INE364U01010,ADANIGREEN 28 OCT 2025 CE 840.00_20251028_CE_840,XX
N,D,135227,MAXHEALTH 25 NOV 2025 PE 1380.00,2025-11-25,PE,1380,MAXHEALTH 25 NOV 2025 PE 1380.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 25 NOV 2025 PE 1380.00_20251125_PE_1380,XX
N,D,135228,MAXHEALTH 25 NOV 2025 CE 1420.00,2025-11-25,CE,1420,MAXHEALTH 25 NOV 2025 CE 1420.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 25 NOV 2025 CE 1420.00_20251125_CE_1420,XX
N,D,135242,MAXHEALTH 30 DEC 2025 CE 880.00,2025-12-30,CE,880,MAXHEALTH 30 DEC 2025 CE 880.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 30 DEC 2025 CE 880.00_20251230_CE_880,XX
N,D,62033,ADANIGREEN 28 OCT 2025 CE 1080.00,2025-10-28,CE,1080,ADANIGREEN 28 OCT 2025 CE 1080.00,0.05,600,24000,1,ADANIGREEN,N,INE364U01010,ADANIGREEN 28 OCT 2025 CE 1080.00_20251028_CE_1080,XX
N,D,36928,HAL 28 OCT 2025 PE 6350.00,2025-10-28,PE,6350,HAL 28 OCT 2025 PE 6350.00,0.05,150,4500,1,HAL,N,INE066F01020,HAL 28 OCT 2025 PE 6350.00_20251028_PE_6350,XX
N,D,36930,HAL 28 OCT 2025 PE 7000.00,2025-10-28,PE,7000,HAL 28 OCT 2025 PE 7000.00,0.05,150,4500,1,HAL,N,INE066F01020,HAL 28 OCT 2025 PE 7000.00_20251028_PE_7000,XX
N,D,36953,HEROMOTOCO 25 NOV 2025 CE 7900.00,2025-11-25,CE,7900,HEROMOTOCO 25 NOV 2025 CE 7900.00,0.05,150,4500,1,HEROMOTOCO,N,INE158A01026,HEROMOTOCO 25 NOV 2025 CE 7900.00_20251125_CE_7900,XX
N,D,36955,HEROMOTOCO 25 NOV 2025 CE 8000.00,2025-11-25,CE,8000,HEROMOTOCO 25 NOV 2025 CE 8000.00,0.05,150,4500,1,HEROMOTOCO,N,INE158A01026,HEROMOTOCO 25 NOV 2025 CE 8000.00_20251125_CE_8000,XX
N,D,36960,HEROMOTOCO 30 DEC 2025 PE 8000.00,2025-12-30,PE,8000,HEROMOTOCO 30 DEC 2025 PE 8000.00,0.05,150,4500,1,HEROMOTOCO,N,INE158A01026,HEROMOTOCO 30 DEC 2025 PE 8000.00_20251230_PE_8000,XX
N,D,36985,HFCL 30 DEC 2025 PE 112.00,2025-12-30,PE,112,HFCL 30 DEC 2025 PE 112.00,0.05,6450,322500,1,HFCL,N,INE548A01028,HFCL 30 DEC 2025 PE 112.00_20251230_PE_112,XX
N,D,36987,HINDALCO 28 OCT 2025 PE 1140.00,2025-10-28,PE,1140,HINDALCO 28 OCT 2025 PE 1140.00,0.05,1400,42000,1,HINDALCO,N,INE038A01020,HINDALCO 28 OCT 2025 PE 1140.00_20251028_PE_1140,XX
N,D,36994,HINDALCO 30 DEC 2025 CE 1160.00,2025-12-30,CE,1160,HINDALCO 30 DEC 2025 CE 1160.00,0.05,1400,42000,1,HINDALCO,N,INE038A01020,HINDALCO 30 DEC 2025 CE 1160.00_20251230_CE_1160,XX
N,D,36996,HINDPETRO 28 OCT 2025 CE 565.00,2025-10-28,CE,565,HINDPETRO 28 OCT 2025 CE 565.00,0.05,2025,60750,1,HINDPETRO,N,INE094A01015,HINDPETRO 28 OCT 2025 CE 565.00_20251028_CE_565,XX
N,D,37019,HINDUNILVR 28 OCT 2025 PE 3760.00,2025-10-28,PE,3760,HINDUNILVR 28 OCT 2025 PE 3760.00,0.05,300,9000,1,HINDUNILVR,N,INE030A01027,HINDUNILVR 28 OCT 2025 PE 3760.00_20251028_PE_3760,XX
N,D,37028,HINDZINC 28 OCT 2025 CE 700.00,2025-10-28,CE,700,HINDZINC 28 OCT 2025 CE 700.00,0.05,1225,49000,1,HINDZINC,N,INE267A01025,HINDZINC 28 OCT 2025 CE 700.00_20251028_CE_700,XX
N,D,62418,ALKEM 28 OCT 2025 PE 3200.00,2025-10-28,PE,3200,ALKEM 28 OCT 2025 PE 3200.00,0.05,125,5000,1,ALKEM,N,INE540L01014,ALKEM 28 OCT 2025 PE 3200.00_20251028_PE_3200,XX
N,D,112137,NESTLEIND 28 OCT 2025 CE 1420.00,2025-10-28,CE,1420,NESTLEIND 28 OCT 2025 CE 1420.00,0.05,500,20000,1,NESTLEIND,N,INE239A01024,NESTLEIND 28 OCT 2025 CE 1420.00_20251028_CE_1420,XX
N,D,112139,NESTLEIND 28 OCT 2025 CE 1440.00,2025-10-28,CE,1440,NESTLEIND 28 OCT 2025 CE 1440.00,0.05,500,20000,1,NESTLEIND,N,INE239A01024,NESTLEIND 28 OCT 2025 CE 1440.00_20251028_CE_1440,XX
N,D,114243,NYKAA 28 OCT 2025 CE 140.00,2025-10-28,CE,140,NYKAA 28 OCT 2025 CE 140.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 CE 140.00_20251028_CE_140,XX
N,D,114245,NYKAA 28 OCT 2025 PE 140.00,2025-10-28,PE,140,NYKAA 28 OCT 2025 PE 140.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 PE 140.00_20251028_PE_140,XX
N,D,114260,NYKAA 28 OCT 2025 CE 180.00,2025-10-28,CE,180,NYKAA 28 OCT 2025 CE 180.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 CE 180.00_20251028_CE_180,XX
N,D,114279,NYKAA 28 OCT 2025 PE 190.00,2025-10-28,PE,190,NYKAA 28 OCT 2025 PE 190.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 PE 190.00_20251028_PE_190,XX
N,D,114294,NYKAA 28 OCT 2025 PE 215.00,2025-10-28,PE,215,NYKAA 28 OCT 2025 PE 215.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 PE 215.00_20251028_PE_215,XX
N,D,114296,NYKAA 28 OCT 2025 PE 220.00,2025-10-28,PE,220,NYKAA 28 OCT 2025 PE 220.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 PE 220.00_20251028_PE_220,XX
N,D,114311,NYKAA 28 OCT 2025 CE 255.00,2025-10-28,CE,255,NYKAA 28 OCT 2025 CE 255.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 CE 255.00_20251028_CE_255,XX
N,D,114313,NYKAA 28 OCT 2025 CE 260.00,2025-10-28,CE,260,NYKAA 28 OCT 2025 CE 260.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 CE 260.00_20251028_CE_260,XX
N,D,114326,NYKAA 28 OCT 2025 PE 300.00,2025-10-28,PE,300,NYKAA 28 OCT 2025 PE 300.00,0.05,3125,93750,1,NYKAA,N,INE388Y01029,NYKAA 28 OCT 2025 PE 300.00_20251028_PE_300,XX
N,D,114979,OIL 28 OCT 2025 PE 360.00,2025-10-28,PE,360,OIL 28 OCT 2025 PE 360.00,0.05,1400,56000,1,OIL,N,INE274J01014,OIL 28 OCT 2025 PE 360.00_20251028_PE_360,XX
N,D,114981,OIL 28 OCT 2025 PE 380.00,2025-10-28,PE,380,OIL 28 OCT 2025 PE 380.00,0.05,1400,56000,1,OIL,N,INE274J01014,OIL 28 OCT 2025 PE 380.00_20251028_PE_380,XX
N,D,135245,MAXHEALTH 30 DEC 2025 PE 920.00,2025-12-30,PE,920,MAXHEALTH 30 DEC 2025 PE 920.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 30 DEC 2025 PE 920.00_20251230_PE_920,XX
N,D,135259,MAXHEALTH 30 DEC 2025 CE 1080.00,2025-12-30,CE,1080,MAXHEALTH 30 DEC 2025 CE 1080.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 30 DEC 2025 CE 1080.00_20251230_CE_1080,XX
N,D,135260,MAXHEALTH 30 DEC 2025 PE 1080.00,2025-12-30,PE,1080,MAXHEALTH 30 DEC 2025 PE 1080.00,0.05,525,21000,1,MAXHEALTH,N,INE027H01010,MAXHEALTH 30 DEC 2025 PE 1080.00_20251230_PE_1080,XX
N,D,135810,MFSL 30 DEC 2025 PE 1800.00,2025-12-30,PE,1800,MFSL 30 DEC 2025 PE 1800.00,0.05,800,16000,1,MFSL,N,INE180A01020,MFSL 30 DEC 2025 PE 1800.00_20251230_PE_1800,XX
N,D,135813,MFSL 30 DEC 2025 CE 1880.00,2025-12-30,CE,1880,MFSL 30 DEC 2025 CE 1880.00,0.05,800,16000,1,MFSL,N,INE180A01020,MFSL 30 DEC 2025 CE 1880.00_20251230_CE_1880,XX
N,D,70717,BSE 25 NOV 2025 PE 2000.00,2025-11-25,PE,2000,BSE 25 NOV 2025 PE 2000.00,0.05,375,11250,1,BSE,N,INE118H01025,BSE 25 NOV 2025 PE 2000.00_20251125_PE_2000,XX
N,D,70718,BSE 25 NOV 2025 CE 2100.00,2025-11-25,CE,2100,BSE 25 NOV 2025 CE 2100.00,0.05,375,11250,1,BSE,N,INE118H01025,BSE 25 NOV 2025 CE 2100.00_20251125_CE_2100,XX
N,D,70732,BSE 25 NOV 2025 PE 2600.00,2025-11-25,PE,2600,BSE 25 NOV 2025 PE 2600.00,0.05,375,11250,1,BSE,N,INE118H01025,BSE 25 NOV 2025 PE 2600.00_20251125_PE_2600,XX
N,D,70735,BSE 25 NOV 2025 CE 2800.00,2025-11-25,CE,2800,BSE 25 NOV 2025 CE 2800.00,0.05,375,11250,1,BSE,N,INE118H01025,BSE 25 NOV 2025 CE 2800.00_20251125_CE_2800,XX
N,D,70749,CAMS 28 OCT 2025 CE 2500.00,2025-10-28,CE,2500,CAMS 28 OCT 2025 CE 2500.00,0.05,150,6000,1,CAMS,N,INE596I01012,CAMS 28 OCT 2025 CE 2500.00_20251028_CE_2500,XX
N,D,70767,CAMS 28 OCT 2025 CE 3100.00,2025-10-28,CE,3100,CAMS 28 OCT 2025 CE 3100.00,0.05,150,6000,1,CAMS,N,INE596I01012,CAMS 28 OCT 2025 CE 3100.00_20251028_CE_3100,XX
N,D,70768,CAMS 28 OCT 2025 PE 3100.00,2025-10-28,PE,3100,CAMS 28 OCT 2025 PE 3100.00,0.05,150,6000,1,CAMS,N,INE596I01012,CAMS 28 OCT 2025 PE 3100.00_20251028_PE_3100,XX
N,D,71648,CANBK 28 OCT 2025 CE 111.00,2025-10-28,CE,111,CANBK 28 OCT 2025 CE 111.00,0.05,6750,202500,1,CANBK,N,INE476A01022,CANBK 28 OCT 2025 CE 111.00_20251028_CE_111,XX
N,D,68315,BOSCHLTD 25 NOV 2025 CE 38000.00,2025-11-25,CE,38000,BOSCHLTD 25 NOV 2025 CE 38000.00,0.05,25,750,1,BOSCHLTD,N,INE323A01026,BOSCHLTD 25 NOV 2025 CE 38000.00_20251125_CE_38000,XX
N,D,68354,BOSCHLTD 25 NOV 2025 CE 39000.00,2025-11-25,CE,39000,BOSCHLTD 25 NOV 2025 CE 39000.00,0.05,25,750,1,BOSCHLTD,N,INE323A01026,BOSCHLTD 25 NOV 2025 CE 39000.00_20251125_CE_39000,XX
N,D,68515,BOSCHLTD 25 NOV 2025 CE 40500.00,2025-11-25,CE,40500,BOSCHLTD 25 NOV 2025 CE 40500.00,0.05,25,750,1,BOSCHLTD,N,INE323A01026,BOSCHLTD 25 NOV 2025 CE 40500.00_20251125_CE_40500,XX
N,D,68522,BOSCHLTD 25 NOV 2025 PE 42000.00,2025-11-25,PE,42000,BOSCHLTD 25 NOV 2025 PE 42000.00,0.05,25,750,1,BOSCHLTD,N,INE323A01026,BOSCHLTD 25 NOV 2025 PE 42000.00_20251125_PE_42000,XX
N,D,68647,BOSCHLTD 25 NOV 2025 PE 44000.00,2025-11-25,PE,44000,BOSCHLTD 25 NOV 2025 PE 44000.00,0.05,25,750,1,BOSCHLTD,N,INE323A01026,BOSCHLTD 25 NOV 2025 PE 44000.00_20251125_PE_44000,XX
N,D,68658,BOSCHLTD 25 NOV 2025 CE 47000.00,2025-11-25,CE,47000,BOSCHLTD 25 NOV 2025 CE 47000.00,0.05,25,750,1,BOSCHLTD,N,INE323A01026,BOSCHLTD 25 NOV 2025 CE 47000.00_20251125_CE_47000,XX
N,D,141985,POLYCAB 30 DEC 2025 CE 4000.00,2025-12-30,CE,4000,POLYCAB 30 DEC 2025 CE 4000.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 30 DEC 2025 CE 4000.00_20251230_CE_4000,XX
N,D,141987,POLYCAB 30 DEC 2025 CE 4400.00,2025-12-30,CE,4400,POLYCAB 30 DEC 2025 CE 4400.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 30 DEC 2025 CE 4400.00_20251230_CE_4400,XX
N,D,141989,POLYCAB 30 DEC 2025 CE 4800.00,2025-12-30,CE,4800,POLYCAB 30 DEC 2025 CE 4800.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 30 DEC 2025 CE 4800.00_20251230_CE_4800,XX
N,D,142002,POLYCAB 30 DEC 2025 PE 6000.00,2025-12-30,PE,6000,POLYCAB 30 DEC 2025 PE 6000.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 30 DEC 2025 PE 6000.00_20251230_PE_6000,XX
N,D,142004,POLYCAB 30 DEC 2025 PE 6200.00,2025-12-30,PE,6200,POLYCAB 30 DEC 2025 PE 6200.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 30 DEC 2025 PE 6200.00_20251230_PE_6200,XX
N,D,142019,POLYCAB 30 DEC 2025 CE 7800.00,2025-12-30,CE,7800,POLYCAB 30 DEC 2025 CE 7800.00,0.05,125,3750,1,POLYCAB,N,INE455K01017,POLYCAB 30 DEC 2025 CE 7800.00_20251230_CE_7800,XX
N,D,46634,NIFTY 02 DEC 2025 PE 23300.00,2025-12-02,PE,23300,NIFTY 02 DEC 2025 PE 23300.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 02 DEC 2025 PE 23300.00_20251202_PE_23300,XX
N,D,69787,BRITANNIA 28 OCT 2025 PE 6050.00,2025-10-28,PE,6050,BRITANNIA 28 OCT 2025 PE 6050.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 28 OCT 2025 PE 6050.00_20251028_PE_6050,XX
N,D,46651,NIFTY 02 DEC 2025 CE 23650.00,2025-12-02,CE,23650,NIFTY 02 DEC 2025 CE 23650.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 02 DEC 2025 CE 23650.00_20251202_CE_23650,XX
N,D,69808,BRITANNIA 28 OCT 2025 PE 6150.00,2025-10-28,PE,6150,BRITANNIA 28 OCT 2025 PE 6150.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 28 OCT 2025 PE 6150.00_20251028_PE_6150,XX
N,D,46652,NIFTY 02 DEC 2025 PE 23650.00,2025-12-02,PE,23650,NIFTY 02 DEC 2025 PE 23650.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 02 DEC 2025 PE 23650.00_20251202_PE_23650,XX
N,D,69826,BRITANNIA 28 OCT 2025 CE 6750.00,2025-10-28,CE,6750,BRITANNIA 28 OCT 2025 CE 6750.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 28 OCT 2025 CE 6750.00_20251028_CE_6750,XX
N,D,46666,NIFTY 02 DEC 2025 PE 23850.00,2025-12-02,PE,23850,NIFTY 02 DEC 2025 PE 23850.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 02 DEC 2025 PE 23850.00_20251202_PE_23850,XX
N,D,69844,BRITANNIA 28 OCT 2025 CE 7150.00,2025-10-28,CE,7150,BRITANNIA 28 OCT 2025 CE 7150.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 28 OCT 2025 CE 7150.00_20251028_CE_7150,XX
N,D,69862,BRITANNIA 28 OCT 2025 CE 7700.00,2025-10-28,CE,7700,BRITANNIA 28 OCT 2025 CE 7700.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 28 OCT 2025 CE 7700.00_20251028_CE_7700,XX
N,D,69869,BRITANNIA 25 NOV 2025 PE 3400.00,2025-11-25,PE,3400,BRITANNIA 25 NOV 2025 PE 3400.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 3400.00_20251125_PE_3400,XX
N,D,70069,BRITANNIA 25 NOV 2025 CE 4100.00,2025-11-25,CE,4100,BRITANNIA 25 NOV 2025 CE 4100.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 CE 4100.00_20251125_CE_4100,XX
N,D,70144,BRITANNIA 25 NOV 2025 PE 4400.00,2025-11-25,PE,4400,BRITANNIA 25 NOV 2025 PE 4400.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 4400.00_20251125_PE_4400,XX
N,D,70162,BRITANNIA 25 NOV 2025 PE 4700.00,2025-11-25,PE,4700,BRITANNIA 25 NOV 2025 PE 4700.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 4700.00_20251125_PE_4700,XX
N,D,70169,BRITANNIA 25 NOV 2025 PE 5000.00,2025-11-25,PE,5000,BRITANNIA 25 NOV 2025 PE 5000.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 5000.00_20251125_PE_5000,XX
N,D,70294,BRITANNIA 25 NOV 2025 PE 5100.00,2025-11-25,PE,5100,BRITANNIA 25 NOV 2025 PE 5100.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 5100.00_20251125_PE_5100,XX
N,D,70355,BRITANNIA 25 NOV 2025 CE 5900.00,2025-11-25,CE,5900,BRITANNIA 25 NOV 2025 CE 5900.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 CE 5900.00_20251125_CE_5900,XX
N,D,70362,BRITANNIA 25 NOV 2025 PE 6200.00,2025-11-25,PE,6200,BRITANNIA 25 NOV 2025 PE 6200.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 6200.00_20251125_PE_6200,XX
N,D,70380,BRITANNIA 25 NOV 2025 PE 6400.00,2025-11-25,PE,6400,BRITANNIA 25 NOV 2025 PE 6400.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 PE 6400.00_20251125_PE_6400,XX
N,D,70387,BRITANNIA 25 NOV 2025 CE 6800.00,2025-11-25,CE,6800,BRITANNIA 25 NOV 2025 CE 6800.00,0.05,125,3750,1,BRITANNIA,N,INE216A01030,BRITANNIA 25 NOV 2025 CE 6800.00_20251125_CE_6800,XX
N,D,115096,ONGC 28 OCT 2025 CE 150.00,2025-10-28,CE,150,ONGC 28 OCT 2025 CE 150.00,0.05,2250,90000,1,ONGC,N,INE213A01029,ONGC 28 OCT 2025 CE 150.00_20251028_CE_150,XX
N,D,115098,ONGC 28 OCT 2025 CE 160.00,2025-10-28,CE,160,ONGC 28 OCT 2025 CE 160.00,0.05,2250,90000,1,ONGC,N,INE213A01029,ONGC 28 OCT 2025 CE 160.00_20251028_CE_160,XX
N,D,115113,ONGC 28 OCT 2025 PE 230.00,2025-10-28,PE,230,ONGC 28 OCT 2025 PE 230.00,0.05,2250,90000,1,ONGC,N,INE213A01029,ONGC 28 OCT 2025 PE 230.00_20251028_PE_230,XX
